"term","Hypertension (Prevalence)_OR_sig","Diabetes (Prevalence)_OR_sig","Dyslipidemia (Prevalence)_OR_sig","Hypertension (Awareness)_OR_sig","Diabetes (Awareness)_OR_sig","Dyslipidemia (Awareness)_OR_sig","Hypertension (Prevalence)_p.value","Diabetes (Prevalence)_p.value","Dyslipidemia (Prevalence)_p.value","Hypertension (Awareness)_p.value","Diabetes (Awareness)_p.value","Dyslipidemia (Awareness)_p.value"
"(Intercept)","0.47 (0.40–0.55)***","0.14 (0.11–0.17)***","0.52 (0.42–0.63)***","0.69 (0.54–0.89)**","0.25 (0.16–0.40)***","0.18 (0.13–0.25)***",2.79582204864564e-19,3.69771028282261e-70,1.93284831992939e-10,0.00336731491993564,3.79764785274114e-09,4.44109872050386e-28
"urban_rural1","1.17 (1.06–1.29)**","1.16 (1.03–1.31)*","1.28 (1.13–1.45)***","0.95 (0.84–1.07)","1.34 (1.08–1.66)**","1.08 (0.92–1.26)",0.00191426949311164,0.0137329703093784,8.53136729724472e-05,0.377617313999783,0.00855071856994404,0.355251267026385
"urban_rural2","1.18 (1.07–1.31)***","1.49 (1.32–1.67)***","1.48 (1.30–1.67)***","1.41 (1.25–1.59)***","2.60 (2.12–3.18)***","2.14 (1.86–2.47)***",0.000921674009183649,5.46362653851896e-11,1.47670892170159e-09,5.25540893085583e-08,3.31930258033478e-20,5.89468757885632e-26
"gender1","1.04 (0.96–1.13)","0.90 (0.82–0.99)*","1.01 (0.91–1.12)","0.77 (0.70–0.84)***","0.77 (0.65–0.92)**","0.85 (0.76–0.96)*",0.288566891053585,0.029253609460689,0.811868819833205,4.95269884973034e-08,0.00311498766780733,0.01084418089608
"marital1","0.76 (0.68–0.85)***","1.03 (0.90–1.18)","1.03 (0.91–1.18)","1.09 (0.95–1.24)","1.19 (0.92–1.54)","1.00 (0.83–1.20)",1.2544326864855e-06,0.618050870596193,0.628283026921487,0.210067303398151,0.178812768670923,0.997167867516611
"age_group1","1.82 (1.55–2.13)***","1.54 (1.24–1.91)***","1.67 (1.36–2.05)***","1.78 (1.40–2.27)***","1.71 (1.10–2.64)*","1.40 (1.05–1.85)*",8.48288380358671e-14,7.90110652417829e-05,8.35216904450301e-07,2.40370927402459e-06,0.0165630590247048,0.0201674856325202
"age_group2","2.34 (1.99–2.74)***","1.79 (1.43–2.24)***","1.80 (1.46–2.21)***","2.03 (1.59–2.58)***","1.73 (1.11–2.68)*","1.73 (1.30–2.30)***",1.72270765245217e-25,3.97239342082035e-07,3.01744032024736e-08,1.10790031418973e-08,0.0150150543056994,0.00014336458149562
"age_group3","2.88 (2.46–3.36)***","2.33 (1.89–2.86)***","1.90 (1.56–2.32)***","2.45 (1.94–3.09)***","1.87 (1.23–2.84)**","1.75 (1.33–2.30)***",4.76638555898917e-41,1.50794533638059e-15,3.22379362927281e-10,6.57758027953156e-14,0.00342676683472898,6.19168723235621e-05
"age_group4","3.80 (3.24–4.46)***","2.45 (1.99–3.03)***","1.66 (1.36–2.04)***","2.68 (2.11–3.41)***","1.70 (1.11–2.62)*","2.14 (1.61–2.83)***",9.24306755681542e-60,5.89443437980954e-17,1.04079201961443e-06,4.94438004697173e-16,0.0153125047989736,1.31488162694998e-07
"age_group5","4.84 (4.07–5.75)***","2.46 (1.96–3.08)***","1.67 (1.35–2.06)***","2.57 (2.00–3.30)***","1.87 (1.19–2.95)**","1.64 (1.20–2.23)**",1.12399722093558e-71,4.28606557067379e-15,2.94202393861761e-06,1.11097721763071e-13,0.00665303138191313,0.00171145902703039
"age_group6","7.53 (6.31–8.99)***","2.94 (2.35–3.68)***","1.60 (1.29–1.99)***","1.93 (1.51–2.46)***","1.33 (0.84–2.10)","1.39 (1.01–1.92)*",4.7485549613961e-110,7.60535740907657e-21,1.65536678198835e-05,1.20513648899243e-07,0.231430792359866,0.0427319342490512
