"term","Hypertension (Prevalence)","Diabetes (Prevalence)","Dyslipidemia (Prevalence)","Hypertension (Awareness)","Diabetes (Awareness)","Dyslipidemia (Awareness)"
"(Intercept)","0.47 (0.40–0.55)***","0.14 (0.11–0.17)***","0.52 (0.42–0.63)***","0.69 (0.54–0.89)**","0.25 (0.16–0.40)***","0.18 (0.13–0.25)***"
"urban_rural1","1.17 (1.06–1.29)**","1.16 (1.03–1.31)*","1.28 (1.13–1.45)***","0.95 (0.84–1.07)","1.34 (1.08–1.66)**","1.08 (0.92–1.26)"
"urban_rural2","1.18 (1.07–1.31)***","1.49 (1.32–1.67)***","1.48 (1.30–1.67)***","1.41 (1.25–1.59)***","2.60 (2.12–3.18)***","2.14 (1.86–2.47)***"
"gender1","1.04 (0.96–1.13)","0.90 (0.82–0.99)*","1.01 (0.91–1.12)","0.77 (0.70–0.84)***","0.77 (0.65–0.92)**","0.85 (0.76–0.96)*"
"marital1","0.76 (0.68–0.85)***","1.03 (0.90–1.18)","1.03 (0.91–1.18)","1.09 (0.95–1.24)","1.19 (0.92–1.54)","1.00 (0.83–1.20)"
"age_group1","1.82 (1.55–2.13)***","1.54 (1.24–1.91)***","1.67 (1.36–2.05)***","1.78 (1.40–2.27)***","1.71 (1.10–2.64)*","1.40 (1.05–1.85)*"
"age_group2","2.34 (1.99–2.74)***","1.79 (1.43–2.24)***","1.80 (1.46–2.21)***","2.03 (1.59–2.58)***","1.73 (1.11–2.68)*","1.73 (1.30–2.30)***"
"age_group3","2.88 (2.46–3.36)***","2.33 (1.89–2.86)***","1.90 (1.56–2.32)***","2.45 (1.94–3.09)***","1.87 (1.23–2.84)**","1.75 (1.33–2.30)***"
"age_group4","3.80 (3.24–4.46)***","2.45 (1.99–3.03)***","1.66 (1.36–2.04)***","2.68 (2.11–3.41)***","1.70 (1.11–2.62)*","2.14 (1.61–2.83)***"
"age_group5","4.84 (4.07–5.75)***","2.46 (1.96–3.08)***","1.67 (1.35–2.06)***","2.57 (2.00–3.30)***","1.87 (1.19–2.95)**","1.64 (1.20–2.23)**"
"age_group6","7.53 (6.31–8.99)***","2.94 (2.35–3.68)***","1.60 (1.29–1.99)***","1.93 (1.51–2.46)***","1.33 (0.84–2.10)","1.39 (1.01–1.92)*"
