"term","Hypertension (Prevalence)_OR_sig","Diabetes (Prevalence)_OR_sig","Dyslipidemia (Prevalence)_OR_sig","Hypertension (Awareness)_OR_sig","Diabetes (Awareness)_OR_sig","Dyslipidemia (Awareness)_OR_sig","Hypertension (Prevalence)_p.value","Diabetes (Prevalence)_p.value","Dyslipidemia (Prevalence)_p.value","Hypertension (Awareness)_p.value","Diabetes (Awareness)_p.value","Dyslipidemia (Awareness)_p.value"
"(Intercept)","0.26 (0.08–0.84)*","0.12 (0.01–0.92)*","0.09 (0.01–0.73)*","2.85 (0.27–29.67)","0.00 (NaN–NaN)","212510.39 (NaN–NaN)",0.0245850993277526,0.0419608010408248,0.0243753622546348,0.379866070425477,NA,NA
"strata1_0_0_0","0.43 (0.04–4.71)","0.00 (0.00–Inf)","1.96 (0.10–38.86)","0.00 (0.00–Inf)",NA,"0.00 (NaN–NaN)",0.487224237534361,0.995772320044003,0.659865512977723,0.998775565688676,NA,NA
"strata2_0_0_0","1.68 (0.30–9.41)","0.00 (0.00–Inf)","16.15 (1.27–205.52)*","0.29 (0.01–11.80)",NA,"0.00 (NaN–NaN)",0.554389361413394,0.995779747708876,0.0320789752341055,0.514780254758407,NA,NA
"strata0_1_0_0","2.87 (0.66–12.50)","2.26 (0.21–23.99)","5.61 (0.56–56.50)","0.11 (0.01–1.96)","0.00 (NaN–NaN)","0.00 (NaN–NaN)",0.160480734189942,0.498453239281446,0.143110217990759,0.132495801139105,NA,NA
"strata1_1_0_0","2.97 (0.43–20.74)","3.53 (0.25–50.66)","6.69 (0.52–85.21)","0.00 (0.00–Inf)","0.00 (NaN–NaN)","0.00 (NaN–NaN)",0.272306293974808,0.35376086694009,0.143386654568088,0.999658670190086,NA,NA
"strata2_1_0_0","0.00 (0.00–7407375338945090747942358768385158901509074398455953213339467628012898512538032231839753136477569024.00)","0.00 (0.00–Inf)","6.63 (0.41–106.83)",NA,NA,"0.00 (NaN–NaN)",0.935830829310808,0.995735078296984,0.18235009036298,NA,NA,NA
"strata0_0_1_0","1.17 (0.35–3.87)","0.96 (0.12–7.82)","5.54 (0.69–44.56)","0.27 (0.03–2.90)","319909.26 (NaN–NaN)","0.00 (NaN–NaN)",0.802934775714465,0.966704710765177,0.107515222073534,0.28039496257227,NA,NA
"strata1_0_1_0","1.64 (0.48–5.59)","1.94 (0.23–16.19)","5.31 (0.65–43.55)","0.26 (0.02–2.95)","152137.93 (NaN–NaN)","0.00 (NaN–NaN)",0.430754570524898,0.539502799396558,0.120057066275764,0.279842542941922,NA,NA
"strata2_0_1_0","1.06 (0.30–3.73)","1.06 (0.12–9.23)","7.36 (0.89–60.84)","0.42 (0.04–4.93)","565842.34 (NaN–NaN)","0.00 (NaN–NaN)",0.925897556179344,0.96113889055627,0.0641702987325222,0.48703122367203,NA,NA
"strata0_1_1_0","1.36 (0.41–4.55)","1.02 (0.12–8.46)","7.66 (0.95–61.85)","0.19 (0.02–2.06)","136946.20 (NaN–NaN)","0.00 (NaN–NaN)",0.612961489814125,0.984248800056807,0.0562128982642412,0.172557555998134,NA,NA
"strata1_1_1_0","1.77 (0.51–6.13)","1.15 (0.13–9.97)","8.51 (1.03–70.28)*","0.19 (0.02–2.16)","39504.45 (NaN–NaN)","0.00 (NaN–NaN)",0.368368724534722,0.896924022640762,0.0467304450436913,0.179270255266028,NA,NA
"strata2_1_1_0","2.36 (0.67–8.29)","2.98 (0.35–25.49)","9.69 (1.16–81.06)*","0.18 (0.02–2.18)","511214.03 (NaN–NaN)","0.00 (NaN–NaN)",0.181250136027972,0.318160459883594,0.0361019690628586,0.177955809921078,NA,NA
"strata0_0_0_1","3.42 (0.89–13.13)","1.80 (0.19–17.26)","5.39 (0.61–48.02)","0.43 (0.03–5.39)","433675.34 (NaN–NaN)","0.00 (NaN–NaN)",0.0731025302660184,0.610953770707725,0.13102432202589,0.514079399607469,NA,NA
"strata1_0_0_1","2.49 (0.53–11.66)","1.40 (0.11–18.30)","7.31 (0.71–75.68)","0.57 (0.03–9.38)","0.00 (NaN–NaN)","0.00 (NaN–NaN)",0.246379954967658,0.797165173967715,0.0952584221209729,0.690744527518013,NA,NA
"strata2_0_0_1","3.08 (0.65–14.55)","2.13 (0.16–28.65)","10.40 (1.01–106.91)*","0.37 (0.02–5.85)","741094.24 (NaN–NaN)","0.00 (NaN–NaN)",0.155018600468845,0.567439851569014,0.0488115312268774,0.483079319073344,NA,NA
"strata0_1_0_1","2.60 (0.65–10.34)","2.67 (0.26–27.08)","15.91 (1.70–148.57)*","0.74 (0.05–10.41)","403150.56 (NaN–NaN)","0.00 (NaN–NaN)",0.176102775239803,0.406137984255064,0.0151976662499255,0.826017841288904,NA,NA
"strata1_1_0_1","5.19 (0.85–31.56)","0.00 (0.00–Inf)","9.64 (0.81–114.75)","0.26 (0.01–5.10)",NA,"0.00 (NaN–NaN)",0.0737471485469783,0.995776488652754,0.0728441016721509,0.373073093186187,NA,NA
"strata2_1_0_1","5.68 (0.81–39.74)","3.15 (0.14–69.77)","6.65 (0.41–108.39)","0.36 (0.02–8.08)","24873257142276798358536678989354834736658225385444449798122728596419064196161700016812635674607433547776.00 (NaN–NaN)","51671374790692387983695442639208416025896872446785686186934686737760969643786038545896873459383371214563310646711299969004393290671654943756357257458236009048560208356356257236486119762370818534307414259565505386419060736.00 (NaN–NaN)",0.0800531389887871,0.467918744784518,0.183621713808487,0.52066094485785,NA,NA
"strata0_0_1_1","2.28 (0.69–7.51)","1.70 (0.21–13.72)","8.90 (1.11–71.37)*","0.49 (0.05–5.15)","398641.44 (NaN–NaN)","0.00 (NaN–NaN)",0.17640251122096,0.619880890934022,0.0395626851229408,0.552948501333374,NA,NA
"strata1_0_1_1","2.41 (0.72–8.07)","1.78 (0.22–14.62)","10.83 (1.34–87.69)*","0.43 (0.04–4.54)","517524.57 (NaN–NaN)","0.00 (NaN–NaN)",0.155049779573829,0.59062730326285,0.0255766268320811,0.479376358247238,NA,NA
"strata2_0_1_1","2.36 (0.70–7.98)","1.48 (0.18–12.37)","8.88 (1.09–72.44)*","0.51 (0.05–5.53)","743753.57 (NaN–NaN)","0.00 (NaN–NaN)",0.16782639464761,0.7155500862319,0.0413357104571842,0.580095177722672,NA,NA
"strata0_1_1_1","2.76 (0.84–9.11)","2.11 (0.26–17.06)","12.28 (1.53–98.63)*","0.36 (0.03–3.73)","242004.09 (NaN–NaN)","0.00 (NaN–NaN)",0.0959405706775086,0.485037915667097,0.0182715191541659,0.388868013905914,NA,NA
"strata1_1_1_1","2.92 (0.87–9.81)","2.12 (0.26–17.42)","19.23 (2.37–156.26)**","0.39 (0.04–4.22)","248830.21 (NaN–NaN)","0.00 (NaN–NaN)",0.0838902427799442,0.486166785794954,0.00568009677358305,0.441154326679062,NA,NA
"strata2_1_1_1","3.97 (1.18–13.44)*","3.47 (0.42–28.62)","18.11 (2.22–147.87)**","0.52 (0.05–5.60)","478234.66 (NaN–NaN)","0.00 (NaN–NaN)",0.0264465182829525,0.247968225666501,0.00686401125142208,0.590020876635884,NA,NA
"strata0_0_0_2","3.31 (0.90–12.19)","2.79 (0.32–24.75)","12.76 (1.49–109.11)*","0.53 (0.04–6.34)","299956.40 (NaN–NaN)","0.00 (NaN–NaN)",0.071736738027435,0.355882023423136,0.0200838800861362,0.617966799568991,NA,NA
"strata1_0_0_2","2.62 (0.61–11.28)","2.29 (0.22–24.24)","16.06 (1.68–153.14)*","0.98 (0.06–14.95)","186186.75 (NaN–NaN)","0.00 (NaN–NaN)",0.194873665981578,0.492241822065163,0.015840548451333,0.988261016035359,NA,NA
"strata2_0_0_2","4.08 (0.94–17.83)","3.12 (0.30–32.12)","22.03 (2.20–220.85)**","0.81 (0.05–12.19)","589816.22 (NaN–NaN)","0.00 (NaN–NaN)",0.0612862756113472,0.339147727516701,0.00854789947220451,0.880305970519273,NA,NA
"strata0_1_0_2","4.16 (1.11–15.61)*","0.74 (0.07–8.07)","9.85 (1.12–86.78)*","0.23 (0.02–2.89)","774979.11 (NaN–NaN)","0.00 (NaN–NaN)",0.0345791668020398,0.801677766022515,0.0393207823362695,0.257704992231259,NA,NA
"strata1_1_0_2","4.68 (0.93–23.61)","0.84 (0.04–15.93)","23.69 (2.15–260.71)**","0.35 (0.02–5.42)","803434305090623098105705299087178558056690701958291802222880201689313897650771033226959283210420224.00 (NaN–NaN)","0.00 (NaN–NaN)",0.0616854654216744,0.910069825863312,0.00970555790429016,0.450738988595432,NA,NA
"strata2_1_0_2","17.61 (2.50–124.26)**","0.00 (0.00–Inf)","22.87 (1.96–266.82)*","0.38 (0.03–5.59)",NA,"0.00 (NaN–NaN)",0.00401221435495902,0.996073863358314,0.0125307088278041,0.483831806480767,NA,NA
"strata0_0_1_2","3.10 (0.94–10.26)","2.75 (0.34–22.25)","10.63 (1.32–85.36)*","0.52 (0.05–5.46)","354394.74 (NaN–NaN)","0.00 (NaN–NaN)",0.0632385917323094,0.341801021860973,0.0261066684830655,0.586810138761573,NA,NA
"strata1_0_1_2","4.42 (1.30–15.01)*","2.22 (0.27–18.38)","12.66 (1.55–103.34)*","0.56 (0.05–6.02)","445341.02 (NaN–NaN)","0.00 (NaN–NaN)",0.0171971014108305,0.460971255312092,0.017818192002269,0.630725628245607,NA,NA
