"strata","predicted_prob","ci_lower","ci_upper"
"0_0_0_0",0.203521484709735,0.0721510579486034,0.456423296086739
"1_0_0_0",0.0983377147301181,0.0133081252834063,0.468620842971327
"2_0_0_0",0.300509542894701,0.109434401527573,0.600317016553894
"0_1_0_0",0.423008128917219,0.233367039259423,0.638422086189813
"1_1_0_0",0.431470620823806,0.139818051559146,0.779901911375603
"2_1_0_0",1.34668455234712e-05,2.22044604925031e-16,1
"0_0_1_0",0.229400339781126,0.194108109588948,0.268967713513002
"1_0_1_0",0.2950549982545,0.232149462809802,0.366862075335095
"2_0_1_0",0.213362264336436,0.15081420412277,0.292903629865517
"0_1_1_0",0.258574924066852,0.214809954604511,0.307761555078381
"1_1_1_0",0.311264167539533,0.236550342878718,0.397295781052179
"2_1_1_0",0.375997918958104,0.282548176179564,0.479690316025228
"0_0_0_1",0.466397374210157,0.31424715669614,0.625066802003517
"1_0_0_1",0.389001513501549,0.191206462599664,0.631618708233753
"2_0_0_1",0.440607597309058,0.224123089118559,0.6823094368129
"0_1_0_1",0.398760318051663,0.244044500553362,0.576730418940495
"1_1_0_1",0.570136991870149,0.253496659348499,0.83819646150408
"2_1_0_1",0.59213261096235,0.236783718759197,0.871688512696911
"0_0_1_1",0.367891841249346,0.329092473991833,0.408480484178767
"1_0_1_1",0.380691013290975,0.323696993058662,0.441173905118113
"2_0_1_1",0.376058586297427,0.310173081989596,0.446873095427642
"0_1_1_1",0.413501541724813,0.370326718000937,0.45804832489944
"1_1_1_1",0.426934229833305,0.363440167496905,0.492931144726288
"2_1_1_1",0.503858010899482,0.431977746677227,0.575579150954509
"0_0_0_2",0.458375704823923,0.327893453862807,0.594828171046463
"1_0_0_2",0.401335328948178,0.222384898466887,0.61111782677462
"2_0_0_2",0.510667580166218,0.302675717618171,0.715030319669293
"0_1_0_2",0.515335269868256,0.37006723970681,0.658057341508789
"1_1_0_2",0.544546173109064,0.283840327517718,0.782927395297923
"2_1_0_2",0.818169049825261,0.487351851067262,0.95515178711869
"0_0_1_2",0.442380118254018,0.398203031204511,0.487488140323942
"1_0_1_2",0.530383226721701,0.454329527907142,0.605051488195086
"2_0_1_2",0.427829591466896,0.355607486688481,0.503264123390541
"0_1_1_2",0.462247437722563,0.415877300641615,0.509280030328428
"1_1_1_2",0.509281749801252,0.432252690392975,0.585872580421432
"2_1_1_2",0.529993409512896,0.460232826157522,0.598601425342008
"0_0_0_3",0.574099850618258,0.473627870320258,0.668804581441435
"1_0_0_3",0.561476489276795,0.402137327727538,0.709071821112388
"2_0_0_3",0.573574885580195,0.433195898234902,0.703021382713006
"0_1_0_3",0.492738001423833,0.379569694268254,0.606655430948174
"1_1_0_3",0.62330539372292,0.410218877356113,0.797422840076383
"2_1_0_3",0.794421996531691,0.556326813118124,0.922535838896329
"0_0_1_3",0.476123922548168,0.434147982908707,0.518439917361298
"1_0_1_3",0.569026025783273,0.505413912395262,0.630438966117748
"2_0_1_3",0.545601804418303,0.474489672372836,0.614901045007405
"0_1_1_3",0.505059847376275,0.461585704187702,0.548457612214281
"1_1_1_3",0.617064499919856,0.548609926564814,0.68117093718846
"2_1_1_3",0.588307419953556,0.522904185939355,0.650733409576963
"0_0_0_4",0.651522530602894,0.572114918274897,0.723320292648493
"1_0_0_4",0.663323897846819,0.514483613133094,0.785554371848175
"2_0_0_4",0.627813920474088,0.447176189463031,0.778644816359264
"0_1_0_4",0.667083394991624,0.560113703680701,0.759222673225209
"1_1_0_4",0.791782068976912,0.573667404848616,0.914867611485841
"2_1_0_4",0.72964646086702,0.452656912813897,0.8980369361225
"0_0_1_4",0.616860148974982,0.567539672934783,0.663886984223936
"1_0_1_4",0.634705333821825,0.554103719964397,0.70840446370044
"2_0_1_4",0.586202774926986,0.505114386302992,0.662872428429079
"0_1_1_4",0.587917273871249,0.540823451177441,0.633454645459978
"1_1_1_4",0.597374493021091,0.515181454184112,0.674438738364416
"2_1_1_4",0.617521803584525,0.550680824209179,0.680194018905776
"0_0_0_5",0.704106527325395,0.623268694389315,0.773891169778712
"1_0_0_5",0.869116921767493,0.733385068080551,0.941281149410751
"2_0_0_5",0.835326722958219,0.69798939744818,0.917584967898724
"0_1_0_5",0.590429299155375,0.476357616568376,0.695534074549555
"1_1_0_5",0.733319711297731,0.504774635124669,0.881212580685308
"2_1_0_5",0.925412131465066,0.609663996730894,0.989955378558778
"0_0_1_5",0.673153094560377,0.614435897637878,0.726902734021813
"1_0_1_5",0.752919502272878,0.655667426039569,0.829832772305498
"2_0_1_5",0.606576304412721,0.502927092111165,0.701442898339767
"0_1_1_5",0.642267550547595,0.585918267104354,0.694941112333361
"1_1_1_5",0.662315196099952,0.565632423701279,0.747099826058086
"2_1_1_5",0.652485853705951,0.575082973836204,0.722590467641329
"0_0_0_6",0.834805846445448,0.788420986697808,0.872664044044022
"1_0_0_6",0.832133055948792,0.754735694851343,0.888707884895551
"2_0_0_6",0.854706402093035,0.774538950606699,0.909692201927879
"0_1_0_6",0.758925589248362,0.680618313786554,0.823025482110437
"1_1_0_6",0.803070873267377,0.64347233398738,0.902095771192798
"2_1_0_6",0.822684249522711,0.677966034980481,0.910913544304119
"0_0_1_6",0.841760489518443,0.785244165923317,0.885571042305948
"1_0_1_6",0.732749794270277,0.610962798740509,0.827195027269553
"2_0_1_6",0.794253735773377,0.680956569561972,0.874719418632238
"0_1_1_6",0.716767465646282,0.660837282141626,0.766730121583281
"1_1_1_6",0.700947506146535,0.598103905433868,0.786852575274888
"2_1_1_6",0.730360643601586,0.66348764224854,0.78818687873765
